document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 5 - OQ - Heart Rate Monitor Application,OQ,97,OQ-097-02,Capture heart rate from paired device,Cloud Sync,Low,Audit/event record shall be generated where applicable.,In Review,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,97,OQ-097-03,Consent capture and privacy notice,Android/iOS,Low,Data shall be encrypted in transit and at rest.,Draft,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,97,OQ-097-04,Validate sensor data range,Bluetooth Sensor,Medium,Audit/event record shall be generated where applicable.,Need SME,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,97,OQ-097-05,Manual heart rate entry when device unavailable,Local DB,Low,Data shall be encrypted in transit and at rest.,Approved?,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,98,OQ-098-01,Show trend chart for 7/30/90 days,Notification Service,Medium,User shall receive clear error message on failure.,Rejected once,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,98,OQ-098-02,Biometric login option,Bluetooth Sensor,Low,User shall receive clear error message on failure.,Draft,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,98,OQ-098-03,Manual heart rate entry when device unavailable,Backend API,TBD,Result must be visible in mobile UI within expected time.,Pending QA,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,98,OQ-098-04,Validate sensor data range,iOS,Medium,TBD by clinical SME - intentionally incomplete.,Need SME,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,98,OQ_98.5,Sync readings to cloud API,Cloud Sync,High,Data shall be encrypted in transit and at rest.,Rejected once,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,99,OQ-099-01,Display current BPM with timestamp,Android,Medium,User shall receive clear error message on failure.,Pending QA,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,99,OQ-099-02,Biometric login option,Local DB,Low,Result must be visible in mobile UI within expected time.,Need SME,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,99,OQ-099-03,Store readings securely on device,Cloud Sync,Low,TBD by clinical SME - intentionally incomplete.,In Review,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,99,OQ-099-04,Audit user actions,Android/iOS,Not ranked,Audit/event record shall be generated where applicable.,Pending QA,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,99,OQ-099-05,Consent capture and privacy notice,Android,Low,TBD by clinical SME - intentionally incomplete.,Pending QA,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,100,OQ-100-01,Export readings as PDF/CSV,Local DB,Medium,Result must be visible in mobile UI within expected time.,Draft,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,100,OQ-100-02,Store readings securely on device,Cloud Sync,Medium,Result must be visible in mobile UI within expected time.,In Review,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,100,OQ-100-03,Notification retry and suppression,Backend API,Not ranked,TBD by clinical SME - intentionally incomplete.,Approved?,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,100,OQ-100-04,Export readings as PDF/CSV,Backend API,Low,Audit/event record shall be generated where applicable.,Approved?,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,100,OQ-100-05,Display current BPM with timestamp,Backend API,Medium,User shall receive clear error message on failure.,Draft,manual note
